iteration,focus_r,d,a,b,q,covered_residue_count,fully_covered_count,partial_count,empty_after_application_count,unknown_fullness_count
1,529,311,84,1160,24360,16,626,0,0,49117
2,529,351,40,1364,13640,8,598,0,0,48747
3,529,191,20,744,3720,8,383,0,0,48747
4,529,131,150,374,56100,16,370,0,0,523
5,529,407,16,1612,6448,4,363,0,0,20583
6,529,311,14,1230,17220,16,177,0,0,55339
7,529,191,24,740,4440,8,150,0,0,55956
8,529,191,12,752,2256,4,121,0,0,27397
9,529,143,8,564,1128,4,116,0,0,55186
10,529,311,5,1239,24780,16,114,0,0,55997
11,529,255,28,992,6944,4,113,0,0,12341
12,529,143,224,348,19488,8,96,0,0,14411
13,529,143,14,558,7812,8,66,0,0,34875
14,529,167,1,667,2668,4,56,0,0,5875
15,529,215,12,848,2544,4,48,0,0,25633
16,529,311,40,1204,12040,8,46,0,0,60059
17,529,167,32,636,5088,4,43,0,0,12037
18,529,151,20,584,2920,4,40,0,0,57549
19,529,239,8,948,1896,4,35,0,0,58431
20,529,231,20,904,4520,4,34,0,0,57702
21,529,167,12,656,1968,4,32,0,0,26976
22,529,239,12,944,2832,4,30,0,0,31453
23,529,159,4,632,632,2,28,0,0,58335
24,529,251,29,975,113100,16,26,0,0,42471
25,529,171,14,670,9380,8,24,0,0,59626
26,529,143,236,336,19824,8,24,0,0,31412
27,529,311,504,740,93240,16,20,0,0,38431
28,529,263,18,1034,18612,8,19,0,0,38793
29,529,143,276,296,20424,8,19,0,0,6736
30,529,87,112,236,6608,4,17,0,0,23926
31,529,135,4,536,536,2,16,0,0,59527
32,529,143,24,548,3288,4,16,0,0,58492
33,529,263,216,836,45144,8,15,0,0,23899
34,529,83,9,323,11628,8,14,0,0,3987
35,529,131,11,513,22572,8,13,0,0,23988
36,529,191,300,464,34800,8,13,0,0,21879
37,529,191,180,584,26280,8,11,0,0,41676
38,529,143,36,536,4824,4,10,0,0,42981
39,529,287,32,1116,8928,4,6,0,0,9274
40,529,135,76,464,8816,4,5,0,0,8748
41,529,143,21,551,46284,16,4,0,0,21595
42,529,55,68,152,2584,4,3,0,0,1981
43,529,131,114,410,46740,16,2,0,0,25286
44,529,103,116,296,8584,4,1,0,0,44006
45,529,91,74,290,21460,8,1,0,0,44004
46,529,395,14,1566,21924,8,1,0,0,31872
47,529,143,108,464,12528,4,1,0,0,18771
48,529,27,46,62,2852,4,1,0,0,2133
49,529,103,206,206,412,1,0,0,0,61162
50,529,143,4,568,568,2,0,0,0,61162
