d,a,b,rule_modulus,q,residue_t
11,1,43,172,172,129
11,1,43,172,172,161
11,3,41,492,492,153
11,3,41,492,492,205
11,3,41,492,492,369
11,3,41,492,492,481
19,2,74,148,148,37
19,2,74,148,148,129
15,1,59,236,236,177
15,1,59,236,236,221
11,6,38,228,228,57
11,6,38,228,228,133
11,6,38,228,228,141
11,6,38,228,228,217
27,2,106,212,212,53
27,2,106,212,212,185
15,2,58,116,116,29
15,2,58,116,116,101
23,24,68,408,408,153
23,24,68,408,408,249
23,24,68,408,408,289
23,24,68,408,408,385
31,2,122,244,244,61
31,2,122,244,244,213
11,15,29,1740,1740,105
11,15,29,1740,1740,145
11,15,29,1740,1740,609
11,15,29,1740,1740,685
11,15,29,1740,1740,1149
11,15,29,1740,1740,1189
11,15,29,1740,1740,1305
11,15,29,1740,1740,1729
23,3,89,1068,1068,333
23,3,89,1068,1068,445
23,3,89,1068,1068,801
23,3,89,1068,1068,1045
19,14,62,868,868,93
19,14,62,868,868,105
19,14,62,868,868,217
19,14,62,868,868,849
23,23,69,276,276,69
23,23,69,276,276,253
23,6,86,516,516,129
23,6,86,516,516,301
23,6,86,516,516,321
23,6,86,516,516,493
35,6,134,804,804,201
35,6,134,804,804,469
35,6,134,804,804,501
35,6,134,804,804,769
7,11,17,748,748,561
7,11,17,748,748,605
7,11,17,748,748,697
7,11,17,748,748,741
35,2,138,276,276,57
35,2,138,276,276,69
35,2,138,276,276,241
35,2,138,276,276,253
19,5,71,1420,1420,265
19,5,71,1420,1420,781
19,5,71,1420,1420,1065
19,5,71,1420,1420,1401
47,2,186,372,372,93
47,2,186,372,372,201
47,2,186,372,372,217
47,2,186,372,372,325
27,1,107,428,428,321
27,1,107,428,428,401
39,8,148,296,296,185
39,8,148,296,296,257
31,8,116,232,232,145
31,8,116,232,232,201
47,4,184,184,184,137
47,4,184,184,184,161
47,24,164,984,984,369
47,24,164,984,984,609
47,24,164,984,984,697
47,24,164,984,984,937
31,62,62,124,124,93
39,20,136,680,680,425
39,20,136,680,680,505
39,20,136,680,680,561
39,20,136,680,680,641
63,4,248,248,248,185
63,4,248,248,248,217
39,1,155,620,620,85
39,1,155,620,620,341
39,1,155,620,620,465
39,1,155,620,620,581
35,1,139,556,556,417
35,1,139,556,556,521
35,3,137,1644,1644,513
35,3,137,1644,1644,685
35,3,137,1644,1644,1233
35,3,137,1644,1644,1609
71,8,276,552,552,297
71,8,276,552,552,345
71,8,276,552,552,481
71,8,276,552,552,529
59,6,230,1380,1380,345
59,6,230,1380,1380,585
59,6,230,1380,1380,621
59,6,230,1380,1380,805
59,6,230,1380,1380,861
59,6,230,1380,1380,1045
59,6,230,1380,1380,1081
59,6,230,1380,1380,1321
51,2,202,404,404,101
51,2,202,404,404,353
55,8,212,424,424,265
55,8,212,424,424,369
23,18,74,1332,1332,333
23,18,74,1332,1332,481
23,18,74,1332,1332,1161
23,18,74,1332,1332,1309
39,4,152,152,152,57
39,4,152,152,152,113
55,2,218,436,436,109
55,2,218,436,436,381
23,9,83,2988,2988,913
23,9,83,2988,2988,1305
23,9,83,2988,2988,2241
23,9,83,2988,2988,2965
47,47,141,564,564,141
47,47,141,564,564,517
95,8,372,744,744,153
95,8,372,744,744,217
95,8,372,744,744,465
95,8,372,744,744,649
71,2,282,564,564,117
71,2,282,564,564,141
71,2,282,564,564,493
71,2,282,564,564,517
47,16,172,688,688,129
47,16,172,688,688,641
23,39,53,8268,8268,1537
23,39,53,8268,8268,1885
23,39,53,8268,8268,2733
23,39,53,8268,8268,3445
23,39,53,8268,8268,4293
23,39,53,8268,8268,4641
23,39,53,8268,8268,6201
23,39,53,8268,8268,8245
63,8,244,488,488,305
63,8,244,488,488,425
27,14,94,1316,1316,141
27,14,94,1316,1316,161
27,14,94,1316,1316,329
27,14,94,1316,1316,1289
11,17,27,1836,1836,1377
11,17,27,1836,1836,1485
11,17,27,1836,1836,1717
11,17,27,1836,1836,1825
87,4,344,344,344,129
87,4,344,344,344,257
39,10,146,1460,1460,365
39,10,146,1460,1460,545
39,10,146,1460,1460,1241
39,10,146,1460,1460,1421
23,16,76,304,304,57
23,16,76,304,304,281
31,32,92,736,736,161
31,32,92,736,736,705
